Entity,Code,Date,people_fully_vaccinated_per_hundred
North Dakota,,2021-02-04,3.78
North Dakota,,2021-02-05,4.04
North Dakota,,2021-02-06,4.61
North Dakota,,2021-02-07,4.94
North Dakota,,2021-02-08,5.04
North Dakota,,2021-02-09,5.04
North Dakota,,2021-02-10,5.14
North Dakota,,2021-02-11,5.34
North Dakota,,2021-02-12,5.68
North Dakota,,2021-02-13,5.97
North Dakota,,2021-02-14,6.24
North Dakota,,2021-02-16,6.46
North Dakota,,2021-02-17,6.51
North Dakota,,2021-02-18,6.62
North Dakota,,2021-02-19,7.62
North Dakota,,2021-02-20,8.09
North Dakota,,2021-02-21,8.57
North Dakota,,2021-02-22,8.6
North Dakota,,2021-02-23,8.62
North Dakota,,2021-02-24,8.79
North Dakota,,2021-02-25,9.01
North Dakota,,2021-02-26,9.47
North Dakota,,2021-02-27,10.11
North Dakota,,2021-02-28,10.58
North Dakota,,2021-03-01,10.8
North Dakota,,2021-03-02,10.81
North Dakota,,2021-03-03,10.96
North Dakota,,2021-03-04,11.26
North Dakota,,2021-03-05,11.74
North Dakota,,2021-03-06,12.03
Northern Mariana Islands,MNP,2021-01-12,0.58
Northern Mariana Islands,MNP,2021-01-13,1.24
Northern Mariana Islands,MNP,2021-01-15,2.02
Northern Mariana Islands,MNP,2021-01-19,3.37
Northern Mariana Islands,MNP,2021-01-20,3.9
Northern Mariana Islands,MNP,2021-01-21,4.75
Northern Mariana Islands,MNP,2021-01-22,5.3
Northern Mariana Islands,MNP,2021-01-23,5.3
Northern Mariana Islands,MNP,2021-01-24,5.3
Northern Mariana Islands,MNP,2021-01-25,5.3
Northern Mariana Islands,MNP,2021-01-26,5.37
Northern Mariana Islands,MNP,2021-01-27,5.37
Northern Mariana Islands,MNP,2021-01-28,5.38
Northern Mariana Islands,MNP,2021-01-29,5.38
Northern Mariana Islands,MNP,2021-01-30,5.38
Northern Mariana Islands,MNP,2021-01-31,5.54
Northern Mariana Islands,MNP,2021-02-01,5.71
Northern Mariana Islands,MNP,2021-02-02,5.87
Northern Mariana Islands,MNP,2021-02-03,5.94
Northern Mariana Islands,MNP,2021-02-04,5.98
Northern Mariana Islands,MNP,2021-02-05,6.49
Northern Mariana Islands,MNP,2021-02-06,6.89
Northern Mariana Islands,MNP,2021-02-07,7.09
Northern Mariana Islands,MNP,2021-02-08,7.12
Northern Mariana Islands,MNP,2021-02-09,7.44
Northern Mariana Islands,MNP,2021-02-10,7.64
Northern Mariana Islands,MNP,2021-02-11,7.69
Northern Mariana Islands,MNP,2021-02-12,7.85
Northern Mariana Islands,MNP,2021-02-13,8.42
Northern Mariana Islands,MNP,2021-02-14,9.04
Northern Mariana Islands,MNP,2021-02-16,9.61
Northern Mariana Islands,MNP,2021-02-17,10.01
Northern Mariana Islands,MNP,2021-02-18,10.4
Northern Mariana Islands,MNP,2021-02-19,10.91
Northern Mariana Islands,MNP,2021-02-20,10.91
Northern Mariana Islands,MNP,2021-02-21,11.14
Northern Mariana Islands,MNP,2021-02-22,11.44
Northern Mariana Islands,MNP,2021-02-23,11.74
Northern Mariana Islands,MNP,2021-02-24,12.43
Northern Mariana Islands,MNP,2021-02-25,12.89
Northern Mariana Islands,MNP,2021-02-26,13.04
Northern Mariana Islands,MNP,2021-02-27,13.28
Northern Mariana Islands,MNP,2021-02-28,13.43
Northern Mariana Islands,MNP,2021-03-01,13.44
Northern Mariana Islands,MNP,2021-03-02,13.72
Northern Mariana Islands,MNP,2021-03-03,13.98
Northern Mariana Islands,MNP,2021-03-04,14.31
Northern Mariana Islands,MNP,2021-03-05,14.58
Northern Mariana Islands,MNP,2021-03-06,14.69
Ohio,,2021-01-15,0.12
Ohio,,2021-01-19,0.23
Ohio,,2021-01-20,0.26
Ohio,,2021-01-21,0.26
Ohio,,2021-01-22,0.38
Ohio,,2021-01-23,0.51
Ohio,,2021-01-24,0.61
Ohio,,2021-01-25,0.66
Ohio,,2021-01-26,0.69
Ohio,,2021-01-27,0.76
Ohio,,2021-01-28,0.91
Ohio,,2021-01-29,1.08
Ohio,,2021-01-30,1.29
Ohio,,2021-01-31,1.4
Ohio,,2021-02-01,1.53
Ohio,,2021-02-02,1.62
Ohio,,2021-02-03,1.72
Ohio,,2021-02-04,1.86
Ohio,,2021-02-05,2.05
